Date,High,Low,Open,Close,Volume,Adj Close
2017-05-19,20.399999618530273,19.5,20.0,19.5,24800,19.5
2017-05-22,21.5,19.5,19.5,21.5,50000,21.5
2017-05-23,21.5,20.0,21.5,20.5,38800,20.5
2017-05-24,21.5,20.0,20.5,21.0,23300,21.0
2017-05-25,21.5,20.5,21.5,20.5,20200,20.5
2017-05-26,21.299999237060547,19.5,20.5,21.0,19900,21.0
2017-05-30,21.0,20.0,21.0,21.0,12600,21.0
2017-05-31,21.0,20.0,21.0,20.5,14400,20.5
2017-06-01,21.0,20.0,20.5,20.0,13900,20.0
2017-06-02,20.5,19.5,20.5,20.0,42900,20.0
2017-06-05,20.5,19.5,20.0,20.5,46000,20.5
2017-06-06,20.0,19.0,20.0,19.5,34600,19.5
2017-06-07,20.5,19.0,19.5,19.0,16800,19.0
2017-06-08,19.799999237060547,18.0,19.5,18.5,48600,18.5
2017-06-09,19.299999237060547,18.0,19.0,18.0,68600,18.0
2017-06-12,18.799999237060547,17.5,18.5,17.5,38200,17.5
2017-06-13,18.5,17.5,18.0,18.0,22900,18.0
2017-06-14,20.5,19.5,19.5,20.5,32600,20.5
2017-06-15,20.5,18.299999237060547,20.0,18.5,27400,18.5
2017-06-16,20.0,18.5,18.5,20.0,26200,20.0
2017-06-19,20.100000381469727,19.0,20.0,19.5,8100,19.5
2017-06-20,19.5,18.0,19.5,18.5,21600,18.5
2017-06-21,19.5,17.5,18.5,18.5,54800,18.5
2017-06-22,19.5,18.0,18.5,19.0,8500,19.0
2017-06-23,20.0,19.0,19.0,19.0,24000,19.0
2017-06-26,20.5,19.0,19.5,20.5,21500,20.5
2017-06-27,20.5,19.5,20.0,20.0,13200,20.0
2017-06-28,20.799999237060547,19.5,20.0,20.0,16100,20.0
2017-06-29,20.0,19.5,20.0,20.0,15100,20.0
2017-06-30,20.0,19.0,20.0,19.0,15100,19.0
2017-07-03,20.0,19.0,19.0,19.5,2400,19.5
2017-07-05,20.0,19.0,19.5,19.5,17800,19.5
2017-07-06,19.5,19.0,19.0,19.0,9200,19.0
2017-07-07,19.5,18.0,19.5,19.0,20200,19.0
2017-07-10,19.0,18.0,19.0,18.5,10300,18.5
2017-07-11,19.5,18.0,18.5,19.0,12600,19.0
2017-07-12,19.799999237060547,18.5,19.0,19.5,15000,19.5
2017-07-13,20.0,18.5,19.0,18.5,9100,18.5
2017-07-14,19.5,18.5,18.5,19.0,4000,19.0
2017-07-17,19.0,18.5,19.0,19.0,2500,19.0
2017-07-18,19.399999618530273,18.5,19.0,19.0,4000,19.0
2017-07-19,19.5,18.5,19.0,19.0,17500,19.0
2017-07-20,19.5,18.5,19.0,19.0,9200,19.0
2017-07-21,19.0,18.5,18.5,18.5,47900,18.5
2017-07-24,19.5,18.0,19.0,19.0,14700,19.0
2017-07-25,19.5,18.5,19.0,18.5,19000,18.5
2017-07-26,18.799999237060547,18.0,18.5,18.5,6000,18.5
2017-07-27,18.799999237060547,18.0,18.5,18.0,17400,18.0
2017-07-28,19.0,18.0,18.0,18.5,5200,18.5
2017-07-31,19.0,18.299999237060547,19.0,18.5,5600,18.5
2017-08-01,19.0,18.0,19.0,18.5,5700,18.5
2017-08-02,19.5,18.5,18.5,19.0,15400,19.0
2017-08-03,21.399999618530273,19.0,19.0,21.0,64600,21.0
2017-08-04,21.5,20.5,21.0,21.0,12400,21.0
2017-08-07,21.5,20.5,21.0,20.5,21700,20.5
2017-08-08,21.0,20.0,20.5,20.0,13900,20.0
2017-08-09,20.5,20.0,20.0,20.0,4700,20.0
2017-08-10,20.5,19.5,20.0,20.0,11500,20.0
2017-08-11,20.100000381469727,19.0,20.0,19.0,30800,19.0
2017-08-14,20.299999237060547,19.5,20.0,20.0,6400,20.0
2017-08-15,20.0,19.5,20.0,19.5,4300,19.5
2017-08-16,20.5,19.5,19.5,20.0,6000,20.0
2017-08-17,20.5,19.5,20.0,19.5,4800,19.5
2017-08-18,20.0,19.0,19.5,19.5,14500,19.5
2017-08-21,21.5,20.0,20.0,21.5,61500,21.5
2017-08-22,24.0,21.0,21.0,22.5,45100,22.5
2017-08-23,23.0,21.5,23.0,22.5,7700,22.5
2017-08-24,22.899999618530273,21.0,22.5,21.5,14600,21.5
2017-08-25,22.0,21.0,21.5,21.5,8200,21.5
2017-08-28,22.0,21.0,21.0,21.0,8500,21.0
2017-08-29,22.5,21.0,21.5,22.0,14000,22.0
2017-08-30,22.5,20.5,22.5,21.5,14300,21.5
2017-08-31,21.5,21.0,21.5,21.0,14100,21.0
2017-09-01,21.5,20.5,21.0,20.5,25300,20.5
2017-09-05,21.0,20.0,21.0,20.5,18100,20.5
2017-09-06,21.0,20.100000381469727,20.5,20.5,4200,20.5
2017-09-07,21.5,20.5,21.0,21.5,19500,21.5
2017-09-08,21.5,20.899999618530273,21.0,21.0,10200,21.0
2017-09-11,21.5,21.0,21.0,21.0,3100,21.0
2017-09-12,21.399999618530273,21.0,21.0,21.0,7100,21.0
2017-09-13,21.5,21.0,21.0,21.0,10800,21.0
2017-09-14,21.399999618530273,20.5,21.0,20.5,24600,20.5
2017-09-15,21.5,20.5,20.5,21.0,13700,21.0
2017-09-18,21.0,20.0,21.0,20.0,24200,20.0
2017-09-19,20.5,20.0,20.0,20.0,18100,20.0
2017-09-20,21.5,20.399999618530273,20.5,21.0,18500,21.0
2017-09-21,21.5,20.5,21.5,20.5,8200,20.5
2017-09-22,21.100000381469727,20.5,20.5,21.0,5600,21.0
2017-09-25,21.0,20.5,20.5,20.5,10200,20.5
2017-09-26,21.0,20.5,20.5,21.0,6400,21.0
2017-09-27,21.299999237060547,20.5,21.0,21.0,4800,21.0
2017-09-28,22.0,21.0,21.0,21.5,21700,21.5
2017-09-29,22.0,21.5,22.0,22.0,8100,22.0
2017-10-02,22.0,21.5,21.5,22.0,10700,22.0
